"word_0";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"миллионер";"0.002294";"0.0022021247947769363";"0.0023896991652721388";"9.066654469263154";"8.703532960958812";"9.44488954533961";"3531.197786";"3389.772536971239";"3678.5093293875434"
"шатер";"0.002281";"0.0021893902454559982";"0.002376433814474293";"9.015274125714583";"8.653201767186044";"9.392460446779177";"3511.186639";"3370.170003245082";"3658.089722862754"
"сквер";"0.002184";"0.002094395433439231";"0.0022774293717585966";"8.631897716159864";"8.277750530512705";"9.001161809889387";"3361.8726960000004";"3223.942684206244";"3505.690303106071"
"канцлер";"0.002167";"0.0020777514395253997";"0.0022600734962863267";"8.56470803613481";"8.21196790548863";"8.932565591093123";"3335.7042730000003";"3198.3222681387992";"3478.9740742299723"
"эсер";"0.002163";"0.002073835409595856";"0.0022559895569485523";"8.548898699658327";"8.196490446786596";"8.916424498308022";"3329.5469970000004";"3192.294248863683";"3472.687588812489"
"миллер";"0.002063";"0.0019759606344700274";"0.002153865100391429";"8.153665287746245";"7.809656633655507";"8.51279452426063";"3175.6150970000003";"3041.633747891768";"3315.4854724694346"
"унтер-офицер";"0.001991";"0.0019055230531555673";"0.002080303234894165";"7.869097231169547";"7.53126377775802";"8.222053453389616";"3064.784129";"2933.207840660375";"3202.250295234051"
"камердинер";"0.001982";"0.0018967203393815656";"0.002071106017816701";"7.83352622409746";"7.496472511768178";"8.185702978533394";"3050.9302580000003";"2919.6576560964922";"3188.092844239586"
"мольер";"0.001933";"0.0018488024429957582";"0.0020210242906778617";"7.639861852260539";"7.307084974966054";"7.9877632596180606";"2975.503627";"2845.8967277497877";"3111.0010901019555"
"веер";"0.001914";"0.001830225738507152";"0.0020016011411467076";"7.564767503997244";"7.233663631994911";"7.910996483025295";"2946.256566";"2817.3012535730904";"3081.102666988809"
"свитер";"0.00186";"0.001777440454791078";"0.0019463868397539873";"7.3513414615647195";"7.025038554176401";"7.692771115767426";"2863.1333400000003";"2736.0478634285478";"2996.1102437832683"
"контейнер";"0.001855";"0.0017725538196766704";"0.0019412735132842474";"7.331579790969116";"7.005724939486033";"7.672561541098871";"2855.436745";"2728.5257731508727";"2988.2392031951945"
"дизайнер";"0.001832";"0.0017500772866346128";"0.0019177502230392262";"7.240676106229337";"6.916890171064362";"7.57958963846949";"2820.032408";"2693.9272187851057";"2952.029355578519"
"шиллер";"0.001813";"0.0017315122114794112";"0.0018983154441746667";"7.1655817579660415";"6.843514791104416";"7.502776898865524";"2790.785347";"2665.349645862276";"2922.1130312115038"
"юпитер";"0.001715";"0.00163579278973218";"0.0017980356188726056";"6.7782530142922015";"6.465199654670321";"7.106437523864713";"2639.9320850000004";"2518.00692129775";"2767.750390807361"
"парикмахер";"0.001685";"0.0016065039431826548";"0.001767324695917245";"6.659682990718577";"6.349440347142938";"6.985057695238551";"2593.752515";"2472.922043315981";"2720.476483594638"
"репортер";"0.00168";"0.0016016230851275367";"0.0017622055923882157";"6.639921320122973";"6.330149565321108";"6.964825287701456";"2586.0559200000002";"2465.4088457754347";"2712.596550269436"
"ордер";"0.001677";"0.0015986946557772631";"0.0017591340447880009";"6.6280643177656104";"6.318575434084587";"6.9526855053226235";"2581.4379630000003";"2460.901058836401";"2707.868458689021"
"нумер";"0.00162";"0.0015430669198814079";"0.0017007622186245737";"6.402781272975724";"6.098716035533957";"6.7219805451815215";"2493.69678";"2375.272228044929";"2618.0155976109604"
"фермер";"0.001601";"0.0015245297133824375";"0.0016812995711037834";"6.327686924712428";"6.025450801814888";"6.645057659336679";"2464.449719";"2346.7375538741403";"2588.056374491905"
"миссионер";"0.001594";"0.0015177009107804115";"0.0016741284274880029";"6.300020585878582";"5.99846109229816";"6.616714903750916";"2453.6744860000003";"2336.2258482815923";"2577.0176968724054"
"вальтер";"0.001573";"0.0014972167800336221";"0.001652612719581372";"6.217021569377045";"5.917500963447093";"6.5316776372945";"2421.3487870000004";"2304.6942366245753";"2543.898158893278"
"вагнер";"0.001557";"0.001481612147896483";"0.0016362174746492389";"6.153784223471112";"5.85582624343515";"6.4668781513578875";"2396.7196830000003";"2280.6737298878666";"2518.660646859592"
"контролер";"0.001535";"0.0014601591238001153";"0.0016136706677753576";"6.066832872850454";"5.771036724340753";"6.3777656372730185";"2362.8546650000003";"2247.65068228887";"2483.9539186492957"
"конвейер";"0.001532";"0.0014572340155059112";"0.0016105957991190728";"6.054975870493092";"5.759475719027446";"6.36561272897097";"2358.2367080000004";"2243.1480075145437";"2479.2207149041724"
"вольтер";"0.001524";"0.0014494340873497703";"0.0016023957887405778";"6.023357197540125";"5.72864779684924";"6.3332035481748985";"2345.922156";"2231.141429905161";"2466.5982831283577"
"шахтер";"0.00151";"0.0014357854856496765";"0.0015880444980050585";"5.968024519872434";"5.6747039626716695";"6.276482452147483";"2324.37169";"2210.1318779847747";"2444.5070686246486"
"гомер";"0.001451";"0.0013782846605920388";"0.0015275457763697547";"5.734836806844306";"5.447441489918771";"6.03737129046508";"2233.5518690000004";"2121.619765457877";"2351.3802369357145"
"карьер";"0.001447";"0.0013743873973004164";"0.0015234430703940588";"5.7190274703678226";"5.4320382032400945";"6.021156025656616";"2227.394593";"2115.62063402508";"2345.0648636759124"
"карцер";"0.001371";"0.001300367184648158";"0.0014454638669672741";"5.41865007731464";"5.139485591269995";"5.712956159371071";"2110.4063490000003";"2001.6799143054184";"2225.0299942361976"
"сапер";"0.001369";"0.0012984200183479406";"0.0014434110486338326";"5.410745409076399";"5.131789739466043";"5.704842735431454";"2107.3277110000004";"1998.6826042233338";"2221.8700519719823"
"звер";"0.001345";"0.0012750570684479828";"0.0014187741829298822";"5.3158893902174995";"5.03945155545313";"5.607469610521533";"2070.384055";"1962.7195715462806";"2183.9460564934434"
"полимер";"0.001296";"0.0012273756662884692";"0.0013684559615647492";"5.122225018380579";"4.850998722850563";"5.408595187406644";"1994.9574240000002";"1889.3226832555001";"2106.4902622998884"
"партер";"0.00124";"0.001172913637457999";"0.0013109184206527669";"4.900894307709813";"4.635746588107354";"5.181187601329906";"1908.75556";"1805.4882474982096";"2017.9216323607966"
"вице-премьер";"0.001217";"0.0011505553756369956";"0.0012872768591866914";"4.809990622970035";"4.547379267067966";"5.087748251318244";"1873.3512230000001";"1771.0717502701646";"1981.5297276063986"
"продюсер";"0.00117";"0.001104885945250642";"0.0012389466506820576";"4.624230919371357";"4.366878419151168";"4.896731119261157";"1801.00323";"1700.771928357273";"1907.1341193812545"
"полицмейстер";"0.00117";"0.001104885945250642";"0.0012389466506820576";"4.624230919371357";"4.366878419151168";"4.896731119261157";"1801.00323";"1700.771928357273";"1907.1341193812545"
